ENGLISH ,TARAON/TAWRA
Run!,chow na
Fire!,tamung
Help!,di brungna
Stop!,na naa
Wait!,kalyuna
Go on.,bo gana
I see.,haa whii di
I try.,haa jihwre di
I won!,haa haneya
Smile.,maarana
Cheers!,choo
Snow,awrai 
Got it?,kasa dyubo ye?
He ran.,cha chowbo
Hop in.,welangdi
Hug me.,haa gwidi
I fell.,haa atiku dyabo
I know.,haa kasadi
I lied.,haa lahalau dyabo
I lost.,haa haneyum
I paid.,haa hangna dyabo
I sang.,haa tashe dyabo
I swim.,haa kate dyabo
I'm 19.,haa halo halu kanyang
I'm OK.,haa che
I'm up.,haa tazi
No way!,paeyum
Really?,jumha?
Thanks.,khodemu
Try it.,di hawrebi
We won.,ning haneya
Why me?,haa jala?
Ask Tom.,tom ahuna
Awesome!,pramadang
Be cool.,choya ina
Be fair.,jum ina
Be nice.,pra ina
Beat it.,harai na
Call me.,call dijiyana
Call in.,ame zana
Come on.,hanana
Get Tom.,tom amegena
Get out!,habung bona
Go away.,bo na
Go home.,ang bonana
Goodbye!,pra bona
Hang on!,nagana
He came.,cha hanabo
He runs.,mei chow a
Help me.,haa babrung na
Help us.,ning babrung na
"Hi, Tom.",tom lai!
Hit Tom.,tom chaue na
Hold on.,ing kalyu na
Hug Tom.,tom halyue tyuna
I agree.,haa dyung di
I cried.,haa khrodyabo
I snore.,haa hanya runga
I'll go.,haa bodi
I'm fat.,haa mei darung
I'm hit!,haa tekuya
I'm new.,haa mi hanaya
I'm old.,tapau haa
I'm sad.,haa tyung tawe prayum eidi
I'm shy.,haa halaushia
I'm wet.,haa tyung cheu a
It's OK.,khubiya
It's me!,awe haa
It's you.,awe nyu
drag me.,haa maguna
Lock it.,daming kharue na
Perfect!,tyung che
See you.,abe taruke
Show me.,haa akena
Shut up!,misha ena
So long.,tyung kalung 
Stop it.,katyo na
Take it.,shi na
Tom ate.,tom thali ya
Tom ran.,tom chow a
Tom won.,tom haneya
Wake up!,dyuna
We lost.,ning haneyum
Welcome.,pra hanana
Who ate?,sha thaya?
Who ran?,sha chow bo?
You run.,nyu chow na
You won.,nyu haneya
Am I fat?,haa mei darung ye?
Ask them.,chanung ahoo na
Back off.,hana nana
Be a man.,muwa aa tawe eina
Be brave.,tawe mathung wena
Be brief.,due marona
Be brief.,katyu marona
Call Tom.,tom amena
Can I go?,haa bohane ye?
Cheer up!,halyona
Cool off!,misha ena
Cuff him.,muwa aa tabyue na
Don't go.,boya 
Find Tom.,tom malana
Fix this.,awe marunana
Get away!,dya bona
Get down!,bari hanana
Get lost!,halli na
Get real!,jum lana
Go ahead!,bo gana
Go ahead!,bopi gana
Grab Tom.,tom roting kuho
Grab him.,muwa aa ro na
Have fun.,halyo mara eina
He spoke.,muwa aa cha ji maroya
He tries.,muwa aa cha ji hawre
Help Tom.,tom babrung na
How cute!,tyung kasha ing ya
How deep?,kadedhue rum a
How nice!,kadedhue praha
Hurry up.,tagroo jina
Hurry up.,tagroo matyuna
I am fat.,haa mei darung
I can go.,haa bohane
I did it.,haa ji dyabo
I get by.,haa chung dyabo
I get it.,haa chung biya
I got it.,haa chung kuya
I helped.,haa babrung dyabo
I jumped.,haa du dyabo
I refuse.,haa shyabiyum
I resign.,haa maaratudi
I shaved.,haa mapra dyabo
I smiled.,haa mara dyabo
I stayed.,haa eidyabo
I waited.,haa kahlyudyabo
I'll pay.,haa pisha hungne
I'll try.,haa jikane
I'm back.,haa lyana dyabo
I'm bald.,haa thung ayum
I'm busy.,haa tyung wefreyum
I'm fair.,haa mei lyo
I'm fine.,haa pra eidi
I'm free.,haa jamu dihane
I'm full.,haa kayung blung hoya
I'm fool.,haa kapa ha
I'm good.,haa tawre pra ha
I'm here.,haa ae eidi
I'm home.,haa ang hanana dyabo
I'm late.,haa raa shakuya
I'm lost.,haa kamatyu kuya
I'm next.,chalibo haa
I'm okay.,haa pra eidi
I'm rich.,haa tyung dyadi
I'm safe.,haa jamu shayum
I'm sick.,haa naara
I'm tall.,haa tyung mei kalung
I'm thin.,haa khrapcha de
I'm tidy.,haa tyung khrea eidi
I'm ugly.,haa tyung mie prayum
I'm weak.,haa prae ayum
I'm well.,"haa naara yum, pra eidi"
It hurts.,ae nya
It works.,kamjia
It's his.,awe chaba
It's hot.,awe tyung kai a
It's new.,awe tyung mei
It's sad.,awe tyung prayum wehoya
Keep out!,pei sona
Kiss him.,kashaing na
Leave us.,ning mara na
Let's go!,ning boke
Look out!,whei tena
Marry me.,haa braina
May I go?,haa bonana ye?
She came.,miya aa cha hana hoya
She lied.,miya aa cha lahalue a
She runs.,miya aa cha chow a 
Sit down!,dina!
Speak up!,marona!
Stand up!,dena!
Stop Tom.,tom kalyuna
Take Tom.,tom shina
They won.,chanung haneya
Tom came.,tom hanaya
Tom died.,tom sheikuya
Tom fell.,tom hawrikuya
Tom knew.,tom kasa
Tom left.,tom bokuya
Tom lied.,tom lahalue ya
Tom lies.,tom lahalue a
Tom lost.,tom hamaku ya
Tom paid.,tom pisha hang ya
Tom quit.,tom maraahoya
Tom swam.,tom machae yoha
Tom wept.,tom khroa
Tom's up.,tom dhyuhoya
Too late.,tyung raa shaliya
Trust me.,haa takae thurungna
Try hard.,prai ji hwrena
Use this.,awe kamke jina
Warn Tom.,tom we jiya lana
Watch me.,haa hwhena
Watch us.,ning hwhena
We agree.,ning dyung gadi
We tried.,ning ji hawreya
We'll go.,ning boya
We're OK.,ning pra eidi
What for?,jaba?
What fun!,tyung halyoshia
Who am I?,haa sha haa?
Who came?,sha hanaya?
Who died?,sha shaiya?
Who fell?,sha hawriya?
Who quit?,sha maraaya?
Who swam?,sha machae yoha?
Who's he?,awe sha?
Write me.,haa baa juna
You lost.,nyu hamaya
Aim. Fire!,haa tyung khamyushi
Am I late?,haa raa shaye?
Answer me.,haa marodana
Birds fly.,pya yum a
Bless you.,nyu pra shana
Call home!,ang ame na
Calm down.,abe tawe the jina
Can I eat?,haa tashi ye?
Can we go?,ning me bo haneye?
Catch Tom.,tom rona
Catch him,cha rona
Catch dog,khwau rona
Catch bird,pya rona
Come back.,bhuedu hana nana
Come here.,ae hanana
Come home.,ang hanana
Come over!,ae nyu hanana
Come soon.,tagroo hanana
Did I win?,haa haneya ye?
Do it now.,tya jina
Dogs bark.,khwau rung a
Don't ask.,aho ya
Don't cry.,khro ya
Don't die.,shei ya
Don't lie.,lahalau ya
Don't run.,chow ya
Excuse me.,a lai
Fantastic!,tyung prahi
Follow me.,haa pling hanana
Forget it.,wesakuna
Go for it.,bona shina
Go get it.,boya shigena
Go inside.,lumku bona
Go to bed.,tachung kya ingna
Hands off.,matyana
Have some.,ing shina
He is ill.,muwa aa cha naara
He is old.,muwa aa cha tapau hoya
He smiled.,muwa aa cha maraa
He's fast.,muwa aa cha mei darung
He's good.,muwa aa cha tawe pra
He's lazy.,muwa aa cha heraha
He's rich.,muwa aa cha tyung dya
Here I am.,haa a eidi
Here's Rs.5.,awe pisha mangahalung
Hold fire.,tamung rona
Hold this.,awe rona
How painful,kadedyue nya
How is it?,awe kade?
How weird!,kadedyue prayum
I am busy.,haa tyung wefreyum
I am fine.,haa pra eidi
I am here.,haa a eidi
I am okay.,haa pra eidi
I am sure.,haa jum weidi
I am tall.,haa mei kalung
I am weak.,haa tyung gowshu hoya
I am well.,haa pra
I can fly.,haa yum hane
I can run.,haa chow hane
I can ski.,haa row hane
I can win.,haa hanebiya
I cheated.,haa lahalue dyabo
I fainted.,haa lyaku dyabo
I fear so.,haa raishia
